Wiki-ID,raw_wiki,pre_filtered,thresholded_wiki,absolute_lo,absolute_hi,fraction_lo,fraction_hi,entropy_lo,entropy_hi
ha,0.78,0.79,0.74,0.77,0.76,0.75,0.74,0.76,0.77
ig,0.75,0.77,0.76,0.76,0.76,0.76,0.76,0.73,0.78
sn,0.64,0.61,0.62,0.57,0.66,0.61,0.57,0.53,0.60
so,0.72,0.72,0.72,0.69,0.63,0.62,0.70,0.70,0.68
rw,0.77,0.77,0.70,0.69,0.78,0.74,0.77,0.67,0.72
tw,0.64,0.69,0.71,0.60,0.61,0.71,0.63,0.64,0.63
ln,0.63,0.58,0.56,0.56,0.59,0.59,0.56,0.52,0.56
wo,0.53,0.53,0.45,0.51,0.36,0.47,0.49,0.48,0.45
om,0.60,0.58,0.58,0.56,0.55,0.51,0.57,0.57,0.59
ny,0.66,0.54,0.64,0.60,0.63,0.62,0.61,0.56,0.57
ee,0.61,0.62,0.60,0.49,0.60,0.57,0.56,0.56,0.56
bm,0.43,0.47,0.49,0.40,0.30,0.49,0.43,0.48,0.40
ts,0.64,0.62,0.62,0.56,0.49,0.50,0.52,0.53,0.53
fon,0.46,0.47,0.49,0.42,0.47,0.48,0.49,0.42,0.49
ti,0.37,0.43,0.44,0.39,0.28,0.37,0.38,0.36,0.34
sw,0.77,0.80,0.80,0.79,0.78,0.80,0.82,0.77,0.84
am,0.66,0.63,0.57,0.63,0.59,0.57,0.62,0.55,0.60
zu,0.71,0.66,0.71,0.63,0.69,0.73,0.70,0.65,0.67
ary,0.59,0.61,0.61,0.61,0.56,0.55,0.65,0.52,0.58
lg,0.56,0.57,0.57,0.48,0.54,0.51,0.52,0.54,0.53
tn,0.56,0.64,0.57,0.62,0.60,0.62,0.60,0.57,0.59
rn,0.52,0.53,0.52,0.46,0.44,0.43,0.49,0.53,0.52
ckb,0.81,0.82,0.85,0.79,0.85,0.84,0.83,0.82,0.81
ks,0.44,0.43,0.45,0.44,0.39,0.42,0.43,0.43,0.38
awa,0.54,0.55,0.51,0.49,0.51,0.56,0.49,0.46,0.51
ro,0.80,0.79,0.83,0.81,0.81,0.80,0.82,0.81,0.82
id,0.84,0.85,0.82,0.86,0.82,0.83,0.82,0.84,0.81
hu,0.82,0.82,0.85,0.82,0.85,0.84,0.81,0.83,0.81
nl,0.84,0.80,0.84,0.84,0.81,0.82,0.82,0.83,0.77
uk,0.86,0.85,0.85,0.83,0.82,0.85,0.83,0.82,0.82
yo,0.71,0.67,0.69,0.66,0.61,0.62,0.72,0.67,0.67
kk,0.81,0.84,0.79,0.79,0.83,0.84,0.85,0.80,0.82
mr,0.76,0.76,0.78,0.77,0.78,0.80,0.75,0.75,0.78
te,0.80,0.77,0.79,0.85,0.83,0.83,0.79,0.82,0.85
ht,0.63,0.66,0.61,0.71,0.67,0.71,0.66,0.67,0.71
nso,0.51,0.49,0.41,0.45,0.52,0.51,0.44,0.40,0.50
lij,0.64,0.60,0.54,0.51,0.50,0.49,0.51,0.60,0.53
ace,0.24,0.23,0.18,0.16,0.20,0.18,0.22,0.18,0.22
shn,0.74,0.72,0.73,0.70,0.76,0.75,0.73,0.69,0.73
mai,0.63,0.67,0.63,0.42,0.46,0.62,0.63,0.62,0.67
ban,0.64,0.64,0.69,0.58,0.64,0.65,0.67,0.61,0.63
vi,0.82,0.84,0.86,0.81,0.83,0.83,0.84,0.85,0.84
mni,0.25,0.13,0.23,0.21,0.27,0.19,0.18,0.22,0.20
mi,0.55,0.55,0.50,0.59,0.59,0.51,0.51,0.49,0.56
pag,0.53,0.52,0.48,0.45,0.47,0.46,0.47,0.46,0.41
war,0.54,0.53,0.46,0.46,0.51,0.53,0.50,0.46,0.60
tt,0.79,0.76,0.77,0.72,0.70,0.76,0.69,0.70,0.69
azb,0.53,0.52,0.54,0.44,0.57,0.56,0.49,0.46,0.46
ceb,0.40,0.48,0.51,0.48,0.53,0.56,0.50,0.54,0.54
min,0.69,0.60,0.51,0.48,0.50,0.52,0.45,0.48,0.48
